RAVEN_sample_ID,Time,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__cspturbine__production__electricityBoost,Dispatch__cspturbine__production__heat,Dispatch__solar__production__heat,Dispatch__H_Import__production__heat,Dispatch__TES__level__heat,Dispatch__TES__charge__heat,Dispatch__TES__discharge__heat,Dispatch__grid__production__electricity,Dispatch__gridBoost__production__electricityBoost,Cap_DNI,Price,ProbabilityWeight,PointProbability,prefix
0,81,1,2022,1.0,48.6000002999,1.40000094495,-4.2424271059,33.3329544783,-9.99999090909e-09,48.3673148201,-18812.2737476,18783.1832203,-48.6000002999,-1.40000094495,0.77518499,48.85706,1.0,1.0,1
0,82,1,2022,1.0,48.6000002763,1.4000004039,-4.24242546637,34.3693386416,-9.99999090909e-09,78.4942279853,-18816.4185471,18786.2916339,-48.6000002763,-1.4000004039,0.799286947,43.35258,1.0,1.0,1
0,83,1,2022,1.0,48.6000002481,1.40000032043,-4.24242521342,33.2319142851,-9.99999090909e-09,107.483717047,-18832.1698093,18803.1803203,-48.6000002481,-1.40000032043,0.772835218,38.2116,1.0,1.0,1
0,84,1,2022,1.0,48.6000002463,1.40000031356,-4.2424251926,12.7532045451,-9.99999090909e-09,115.994496389,-18832.8343719,18824.3235926,-48.6000002463,-1.40000031356,0.296586159,37.93029,1.0,1.0,1
0,85,1,2022,1.0,48.6000002515,1.40000032067,-4.24242521414,31.8886991093,-9.99999090909e-09,143.640770275,-18876.358951,18848.7126771,-48.6000002515,-1.40000032067,0.741597656,38.76708,1.0,1.0,1
0,86,1,2022,1.0,48.6000002687,2.8795460612,-8.72589715514,32.6952307695,-9.99999090909e-09,167.610103879,-18838.1146312,18814.1452976,-48.6000002687,-2.8795460612,0.760354206,41.82833,1.0,1.0,1
0,87,1,2022,1.0,48.6000003234,4.35954570711,-13.210744567,30.6517077803,-9.99999090909e-09,185.051067082,-18807.511761,18790.0707978,-48.6000003234,-4.35954570711,0.712830416,55.8933,1.0,1.0,1
0,88,1,2022,1.0,48.600000369,5.83954546491,-17.6955923179,21.7372374687,-9.99999090909e-09,189.092712223,-18826.1004482,18822.058803,-48.600000369,-5.83954546491,0.505517155,77.68239,1.0,1.0,1
0,89,1,2022,1.0,48.6000003862,7.31954510717,-22.1804397187,0.0,-9.99999090909e-09,166.912272494,-18832.7542281,18854.9346678,-48.6000003862,-7.31954510717,0.0,91.12842,1.0,1.0,1
0,90,1,2022,1.0,48.6000003795,7.39999959411,-22.4242411943,0.0,-9.99999090909e-09,144.48803129,-18832.8178426,18855.2420838,-48.6000003795,-7.39999959411,0.0,85.34998,1.0,1.0,1
0,91,1,2022,1.0,48.6000003709,7.39999935597,-22.4242404726,0.0,-9.99999090909e-09,122.063790807,-18832.463026,18854.8872665,-48.6000003709,-7.39999935597,0.0,78.98459,1.0,1.0,1
0,92,1,2022,1.0,48.6000003683,7.31888501047,-22.1784394257,0.0,-9.99999090909e-09,99.8853513718,-18832.6412633,18854.8197028,-48.6000003683,-7.31888501047,0.0,77.23574,1.0,1.0,1
0,93,1,2022,1.0,48.600000354,5.83888581873,-17.6935933901,0.0,-9.99999090909e-09,82.1917579717,-18834.8544908,18852.5480842,-48.600000354,-5.83888581873,0.0,68.84877,1.0,1.0,1
0,94,1,2022,1.0,48.6000003354,4.35888646292,-13.2087468573,0.0,-9.99999090909e-09,68.9830111044,-18837.0763833,18850.2851302,-48.6000003354,-4.35888646292,0.0,60.37552,1.0,1.0,1
0,95,1,2022,1.0,48.6000003287,2.87888756299,-8.72390170604,0.0,-9.99999090909e-09,60.2591093884,-18839.2444495,18847.9683513,-48.6000003287,-2.87888756299,0.0,57.79799,1.0,1.0,1
0,96,1,2022,1.0,48.6000003081,1.40000059989,-4.24242606026,0.0,-9.99999090909e-09,56.0166833181,-18841.4095883,18845.6520144,-48.6000003081,-1.40000059989,0.0,51.09624,1.0,1.0,1
0,97,1,2022,1.0,48.6000002991,1.40000051388,-4.24242579965,0.0,-9.99999090909e-09,51.7742575085,-18841.270428,18845.5128538,-48.6000002991,-1.40000051388,0.0,48.63166,1.0,1.0,1
0,98,1,2022,1.0,48.6000002952,1.40000048719,-4.24242571876,0.0,-9.99999090909e-09,47.5318317797,-18841.1771786,18845.4196043,-48.6000002952,-1.40000048719,0.0,47.657,1.0,1.0,1
0,99,1,2022,1.0,48.6000002927,1.4000004718,-4.24242567212,0.0,-9.99999090909e-09,43.2894060976,-18841.0961674,18845.3385931,-48.6000002927,-1.4000004718,0.0,47.025,1.0,1.0,1
0,100,1,2022,1.0,48.6000002945,1.4000004852,-4.24242571272,0.0,-9.99999090909e-09,39.0469803749,-18841.0350142,18845.27744,-48.6000002945,-1.4000004852,0.0,47.47207,1.0,1.0,1
0,101,1,2022,1.0,48.6000003209,2.87601877379,-8.71520840542,0.0,-9.99999090909e-09,30.3317719595,-18838.7567553,18847.4719637,-48.6000003209,-2.87601877379,0.0,55.04952,1.0,1.0,1
0,102,1,2022,1.0,48.6000003665,4.3560179257,-13.2000543203,0.0,-9.99999090909e-09,17.1317176291,-18836.2276913,18849.4277456,-48.6000003665,-4.3560179257,0.0,76.08512,1.0,1.0,1
0,103,1,2022,1.0,48.6000003669,5.65346570021,-17.1317142431,0.0,-9.99999090909e-09,3.37608534686e-06,-18831.051429,18848.1831432,-48.6000003669,-5.65346570021,0.0,76.34301,1.0,1.0,1
0,104,1,2022,1.0,48.6000003222,4.17346652743,-12.6468682649,27.9173928995,-9.99999090909e-09,15.2705280006,-18829.3909306,18814.1204059,-48.6000003222,-4.17346652743,0.6492417,55.4978,1.0,1.0,1
